group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
basic_a,,,,,954401.0,ns,473
basic_a,,,,,1978700.0,ns,946
basic_a,,,,,3109393.0,ns,1419
basic_a,,,,,3851583.0,ns,1892
basic_a,,,,,4991247.0,ns,2365
basic_a,,,,,6126721.0,ns,2838
basic_a,,,,,6909398.0,ns,3311
basic_a,,,,,7994488.0,ns,3784
basic_a,,,,,9331213.0,ns,4257
basic_a,,,,,9886731.0,ns,4730
basic_a,,,,,10663836.0,ns,5203
basic_a,,,,,11677545.0,ns,5676
basic_a,,,,,12724173.0,ns,6149
basic_a,,,,,13700475.0,ns,6622
basic_a,,,,,14577368.0,ns,7095
basic_a,,,,,15694463.0,ns,7568
basic_a,,,,,16790634.0,ns,8041
basic_a,,,,,17501878.0,ns,8514
basic_a,,,,,18551642.0,ns,8987
basic_a,,,,,19716032.0,ns,9460
basic_a,,,,,20393304.0,ns,9933
basic_a,,,,,21616569.0,ns,10406
basic_a,,,,,22606594.0,ns,10879
basic_a,,,,,23293298.0,ns,11352
basic_a,,,,,24414287.0,ns,11825
basic_a,,,,,25555280.0,ns,12298
basic_a,,,,,26522780.0,ns,12771
basic_a,,,,,27395410.0,ns,13244
basic_a,,,,,28157903.0,ns,13717
basic_a,,,,,29547747.0,ns,14190
basic_a,,,,,30073300.0,ns,14663
basic_a,,,,,31248033.0,ns,15136
basic_a,,,,,33108151.0,ns,15609
basic_a,,,,,34127526.0,ns,16082
basic_a,,,,,34397366.0,ns,16555
basic_a,,,,,35503499.0,ns,17028
basic_a,,,,,36311134.0,ns,17501
basic_a,,,,,37111195.0,ns,17974
basic_a,,,,,37925657.0,ns,18447
basic_a,,,,,39665240.0,ns,18920
basic_a,,,,,39980367.0,ns,19393
basic_a,,,,,40950320.0,ns,19866
basic_a,,,,,42226000.0,ns,20339
basic_a,,,,,42882847.0,ns,20812
basic_a,,,,,43883886.0,ns,21285
basic_a,,,,,45347027.0,ns,21758
basic_a,,,,,46365920.0,ns,22231
basic_a,,,,,46958838.0,ns,22704
basic_a,,,,,47819940.0,ns,23177
basic_a,,,,,49070073.0,ns,23650
basic_a,,,,,49763958.0,ns,24123
basic_a,,,,,50766276.0,ns,24596
basic_a,,,,,52105693.0,ns,25069
basic_a,,,,,53009531.0,ns,25542
basic_a,,,,,53761585.0,ns,26015
basic_a,,,,,55272428.0,ns,26488
basic_a,,,,,56737052.0,ns,26961
basic_a,,,,,56709935.0,ns,27434
basic_a,,,,,57768464.0,ns,27907
basic_a,,,,,58666789.0,ns,28380
basic_a,,,,,59749833.0,ns,28853
basic_a,,,,,60637468.0,ns,29326
basic_a,,,,,61493979.0,ns,29799
basic_a,,,,,63510114.0,ns,30272
basic_a,,,,,67275536.0,ns,30745
basic_a,,,,,64662967.0,ns,31218
basic_a,,,,,66665383.0,ns,31691
basic_a,,,,,66858872.0,ns,32164
basic_a,,,,,67472825.0,ns,32637
basic_a,,,,,68511573.0,ns,33110
basic_a,,,,,69618020.0,ns,33583
basic_a,,,,,70521357.0,ns,34056
basic_a,,,,,72611999.0,ns,34529
basic_a,,,,,72745098.0,ns,35002
basic_a,,,,,73394684.0,ns,35475
basic_a,,,,,74605470.0,ns,35948
basic_a,,,,,75554811.0,ns,36421
basic_a,,,,,76707158.0,ns,36894
basic_a,,,,,77848143.0,ns,37367
basic_a,,,,,79319908.0,ns,37840
basic_a,,,,,79580783.0,ns,38313
basic_a,,,,,80366853.0,ns,38786
basic_a,,,,,81450807.0,ns,39259
basic_a,,,,,82130116.0,ns,39732
basic_a,,,,,83471468.0,ns,40205
basic_a,,,,,85324635.0,ns,40678
basic_a,,,,,86057450.0,ns,41151
basic_a,,,,,87048316.0,ns,41624
basic_a,,,,,87877301.0,ns,42097
basic_a,,,,,88199455.0,ns,42570
basic_a,,,,,89480381.0,ns,43043
basic_a,,,,,91416796.0,ns,43516
basic_a,,,,,91190565.0,ns,43989
basic_a,,,,,92195352.0,ns,44462
basic_a,,,,,93787644.0,ns,44935
basic_a,,,,,96625748.0,ns,45408
basic_a,,,,,97075662.0,ns,45881
basic_a,,,,,97048167.0,ns,46354
basic_a,,,,,97223998.0,ns,46827
basic_a,,,,,98820178.0,ns,47300
