group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
basic_a,,,,,1131870.0,ns,99
basic_a,,,,,2116601.0,ns,198
basic_a,,,,,3194181.0,ns,297
basic_a,,,,,4176641.0,ns,396
basic_a,,,,,6200189.0,ns,495
basic_a,,,,,7194665.0,ns,594
basic_a,,,,,7642322.0,ns,693
basic_a,,,,,8766847.0,ns,792
basic_a,,,,,9819165.0,ns,891
basic_a,,,,,10678743.0,ns,990
basic_a,,,,,11799771.0,ns,1089
basic_a,,,,,12649943.0,ns,1188
basic_a,,,,,13122655.0,ns,1287
basic_a,,,,,12521507.0,ns,1386
basic_a,,,,,13290439.0,ns,1485
basic_a,,,,,14176925.0,ns,1584
basic_a,,,,,15437570.0,ns,1683
basic_a,,,,,16158100.0,ns,1782
basic_a,,,,,17089393.0,ns,1881
basic_a,,,,,17973297.0,ns,1980
basic_a,,,,,18729899.0,ns,2079
basic_a,,,,,20028080.0,ns,2178
basic_a,,,,,20472690.0,ns,2277
basic_a,,,,,23450909.0,ns,2376
basic_a,,,,,26494294.0,ns,2475
basic_a,,,,,28463988.0,ns,2574
basic_a,,,,,25554820.0,ns,2673
basic_a,,,,,27864980.0,ns,2772
basic_a,,,,,25849219.0,ns,2871
basic_a,,,,,30729341.0,ns,2970
basic_a,,,,,32194382.0,ns,3069
basic_a,,,,,30065520.0,ns,3168
basic_a,,,,,30836526.0,ns,3267
basic_a,,,,,33520269.0,ns,3366
basic_a,,,,,31501416.0,ns,3465
basic_a,,,,,31899607.0,ns,3564
basic_a,,,,,32542911.0,ns,3663
basic_a,,,,,33500375.0,ns,3762
basic_a,,,,,34247975.0,ns,3861
basic_a,,,,,35292589.0,ns,3960
basic_a,,,,,36222557.0,ns,4059
basic_a,,,,,36809222.0,ns,4158
basic_a,,,,,37748905.0,ns,4257
basic_a,,,,,38809353.0,ns,4356
basic_a,,,,,39460769.0,ns,4455
basic_a,,,,,40793644.0,ns,4554
basic_a,,,,,41375290.0,ns,4653
basic_a,,,,,42042184.0,ns,4752
basic_a,,,,,43145855.0,ns,4851
basic_a,,,,,43929451.0,ns,4950
basic_a,,,,,44300216.0,ns,5049
basic_a,,,,,45226289.0,ns,5148
basic_a,,,,,54074177.0,ns,5247
basic_a,,,,,57450636.0,ns,5346
basic_a,,,,,60524584.0,ns,5445
basic_a,,,,,65173865.0,ns,5544
basic_a,,,,,62129163.0,ns,5643
basic_a,,,,,62661588.0,ns,5742
basic_a,,,,,59781067.0,ns,5841
basic_a,,,,,54545910.0,ns,5940
basic_a,,,,,63031356.0,ns,6039
basic_a,,,,,56576909.0,ns,6138
basic_a,,,,,55501866.0,ns,6237
basic_a,,,,,56253993.0,ns,6336
basic_a,,,,,57129084.0,ns,6435
basic_a,,,,,56690851.0,ns,6534
basic_a,,,,,57690338.0,ns,6633
basic_a,,,,,58543501.0,ns,6732
basic_a,,,,,61248436.0,ns,6831
basic_a,,,,,62171731.0,ns,6930
basic_a,,,,,61508142.0,ns,7029
basic_a,,,,,62274326.0,ns,7128
basic_a,,,,,63880391.0,ns,7227
basic_a,,,,,63752879.0,ns,7326
basic_a,,,,,65120413.0,ns,7425
basic_a,,,,,65513580.0,ns,7524
basic_a,,,,,66974107.0,ns,7623
basic_a,,,,,69973683.0,ns,7722
basic_a,,,,,69607730.0,ns,7821
basic_a,,,,,69623042.0,ns,7920
basic_a,,,,,71125209.0,ns,8019
basic_a,,,,,71716392.0,ns,8118
basic_a,,,,,71752513.0,ns,8217
basic_a,,,,,72267638.0,ns,8316
basic_a,,,,,73058124.0,ns,8415
basic_a,,,,,75234443.0,ns,8514
basic_a,,,,,75386278.0,ns,8613
basic_a,,,,,77271540.0,ns,8712
basic_a,,,,,78110801.0,ns,8811
basic_a,,,,,80254666.0,ns,8910
basic_a,,,,,84250230.0,ns,9009
basic_a,,,,,82039092.0,ns,9108
basic_a,,,,,81631636.0,ns,9207
basic_a,,,,,82998291.0,ns,9306
basic_a,,,,,84744237.0,ns,9405
basic_a,,,,,85364301.0,ns,9504
basic_a,,,,,86560511.0,ns,9603
basic_a,,,,,86480961.0,ns,9702
basic_a,,,,,86930705.0,ns,9801
basic_a,,,,,84397223.0,ns,9900
