group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
basic_a_and_b,,,,,1023079.0,ns,80
basic_a_and_b,,,,,2380231.0,ns,160
basic_a_and_b,,,,,2866584.0,ns,240
basic_a_and_b,,,,,4195061.0,ns,320
basic_a_and_b,,,,,4905832.0,ns,400
basic_a_and_b,,,,,6151846.0,ns,480
basic_a_and_b,,,,,6957358.0,ns,560
basic_a_and_b,,,,,8054134.0,ns,640
basic_a_and_b,,,,,8715071.0,ns,720
basic_a_and_b,,,,,9854788.0,ns,800
basic_a_and_b,,,,,11049571.0,ns,880
basic_a_and_b,,,,,12074888.0,ns,960
basic_a_and_b,,,,,13046728.0,ns,1040
basic_a_and_b,,,,,13721591.0,ns,1120
basic_a_and_b,,,,,14657215.0,ns,1200
basic_a_and_b,,,,,15632058.0,ns,1280
basic_a_and_b,,,,,16404873.0,ns,1360
basic_a_and_b,,,,,17618065.0,ns,1440
basic_a_and_b,,,,,18641535.0,ns,1520
basic_a_and_b,,,,,19930923.0,ns,1600
basic_a_and_b,,,,,20487677.0,ns,1680
basic_a_and_b,,,,,21463627.0,ns,1760
basic_a_and_b,,,,,22565144.0,ns,1840
basic_a_and_b,,,,,23479781.0,ns,1920
basic_a_and_b,,,,,24557372.0,ns,2000
basic_a_and_b,,,,,25606367.0,ns,2080
basic_a_and_b,,,,,26468112.0,ns,2160
basic_a_and_b,,,,,27368438.0,ns,2240
basic_a_and_b,,,,,28569337.0,ns,2320
basic_a_and_b,,,,,29524895.0,ns,2400
basic_a_and_b,,,,,30436893.0,ns,2480
basic_a_and_b,,,,,31308791.0,ns,2560
basic_a_and_b,,,,,34015384.0,ns,2640
basic_a_and_b,,,,,33356382.0,ns,2720
basic_a_and_b,,,,,34315353.0,ns,2800
basic_a_and_b,,,,,35194899.0,ns,2880
basic_a_and_b,,,,,36223705.0,ns,2960
basic_a_and_b,,,,,36907526.0,ns,3040
basic_a_and_b,,,,,37999521.0,ns,3120
basic_a_and_b,,,,,39354059.0,ns,3200
basic_a_and_b,,,,,40125819.0,ns,3280
basic_a_and_b,,,,,41045833.0,ns,3360
basic_a_and_b,,,,,41823474.0,ns,3440
basic_a_and_b,,,,,43012791.0,ns,3520
basic_a_and_b,,,,,43852671.0,ns,3600
basic_a_and_b,,,,,45971322.0,ns,3680
basic_a_and_b,,,,,50661924.0,ns,3760
basic_a_and_b,,,,,50134986.0,ns,3840
basic_a_and_b,,,,,51254704.0,ns,3920
basic_a_and_b,,,,,50928010.0,ns,4000
basic_a_and_b,,,,,54901858.0,ns,4080
basic_a_and_b,,,,,57807504.0,ns,4160
basic_a_and_b,,,,,52444507.0,ns,4240
basic_a_and_b,,,,,52664844.0,ns,4320
basic_a_and_b,,,,,54455263.0,ns,4400
basic_a_and_b,,,,,56247016.0,ns,4480
basic_a_and_b,,,,,56049252.0,ns,4560
basic_a_and_b,,,,,57219660.0,ns,4640
basic_a_and_b,,,,,57611103.0,ns,4720
basic_a_and_b,,,,,58612225.0,ns,4800
basic_a_and_b,,,,,59386443.0,ns,4880
basic_a_and_b,,,,,60711087.0,ns,4960
basic_a_and_b,,,,,61793606.0,ns,5040
basic_a_and_b,,,,,63711957.0,ns,5120
basic_a_and_b,,,,,64172356.0,ns,5200
basic_a_and_b,,,,,64521985.0,ns,5280
basic_a_and_b,,,,,65528165.0,ns,5360
basic_a_and_b,,,,,66719765.0,ns,5440
basic_a_and_b,,,,,69509780.0,ns,5520
basic_a_and_b,,,,,70031523.0,ns,5600
basic_a_and_b,,,,,70012950.0,ns,5680
basic_a_and_b,,,,,71969948.0,ns,5760
basic_a_and_b,,,,,71663523.0,ns,5840
basic_a_and_b,,,,,72845552.0,ns,5920
basic_a_and_b,,,,,73135626.0,ns,6000
basic_a_and_b,,,,,74704229.0,ns,6080
basic_a_and_b,,,,,75830801.0,ns,6160
basic_a_and_b,,,,,76939699.0,ns,6240
basic_a_and_b,,,,,78819141.0,ns,6320
basic_a_and_b,,,,,78452660.0,ns,6400
basic_a_and_b,,,,,79908660.0,ns,6480
basic_a_and_b,,,,,80484779.0,ns,6560
basic_a_and_b,,,,,84716855.0,ns,6640
basic_a_and_b,,,,,84371506.0,ns,6720
basic_a_and_b,,,,,84783052.0,ns,6800
basic_a_and_b,,,,,85419626.0,ns,6880
basic_a_and_b,,,,,87807845.0,ns,6960
basic_a_and_b,,,,,86246825.0,ns,7040
basic_a_and_b,,,,,87425275.0,ns,7120
basic_a_and_b,,,,,89502681.0,ns,7200
basic_a_and_b,,,,,90474037.0,ns,7280
basic_a_and_b,,,,,90511649.0,ns,7360
basic_a_and_b,,,,,91056898.0,ns,7440
basic_a_and_b,,,,,92291883.0,ns,7520
basic_a_and_b,,,,,93023673.0,ns,7600
basic_a_and_b,,,,,94562553.0,ns,7680
basic_a_and_b,,,,,95983568.0,ns,7760
basic_a_and_b,,,,,96161986.0,ns,7840
basic_a_and_b,,,,,97074236.0,ns,7920
basic_a_and_b,,,,,98183457.0,ns,8000
