group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
basic_a_or_b,,,,,20626060.0,ns,1
basic_a_or_b,,,,,40915232.0,ns,2
basic_a_or_b,,,,,61702539.0,ns,3
basic_a_or_b,,,,,82796052.0,ns,4
basic_a_or_b,,,,,103278123.0,ns,5
basic_a_or_b,,,,,124669650.0,ns,6
basic_a_or_b,,,,,144559700.0,ns,7
basic_a_or_b,,,,,166604436.0,ns,8
basic_a_or_b,,,,,187444801.0,ns,9
basic_a_or_b,,,,,206377523.0,ns,10
basic_a_or_b,,,,,226241895.0,ns,11
basic_a_or_b,,,,,247305974.0,ns,12
basic_a_or_b,,,,,273486676.0,ns,13
basic_a_or_b,,,,,297158799.0,ns,14
basic_a_or_b,,,,,317047479.0,ns,15
basic_a_or_b,,,,,338867926.0,ns,16
basic_a_or_b,,,,,353565673.0,ns,17
basic_a_or_b,,,,,379502476.0,ns,18
basic_a_or_b,,,,,392494042.0,ns,19
basic_a_or_b,,,,,436128064.0,ns,20
basic_a_or_b,,,,,481762800.0,ns,21
basic_a_or_b,,,,,469518333.0,ns,22
basic_a_or_b,,,,,492814681.0,ns,23
basic_a_or_b,,,,,494490511.0,ns,24
basic_a_or_b,,,,,516858392.0,ns,25
basic_a_or_b,,,,,533798901.0,ns,26
basic_a_or_b,,,,,557853236.0,ns,27
basic_a_or_b,,,,,590163706.0,ns,28
basic_a_or_b,,,,,606382562.0,ns,29
basic_a_or_b,,,,,627987006.0,ns,30
basic_a_or_b,,,,,646481569.0,ns,31
basic_a_or_b,,,,,670260069.0,ns,32
basic_a_or_b,,,,,679905602.0,ns,33
basic_a_or_b,,,,,701016321.0,ns,34
basic_a_or_b,,,,,731494700.0,ns,35
basic_a_or_b,,,,,763786735.0,ns,36
basic_a_or_b,,,,,813852425.0,ns,37
basic_a_or_b,,,,,822642278.0,ns,38
basic_a_or_b,,,,,835464891.0,ns,39
basic_a_or_b,,,,,817879871.0,ns,40
basic_a_or_b,,,,,826204912.0,ns,41
basic_a_or_b,,,,,845971037.0,ns,42
basic_a_or_b,,,,,863822667.0,ns,43
basic_a_or_b,,,,,904734250.0,ns,44
basic_a_or_b,,,,,900158849.0,ns,45
basic_a_or_b,,,,,926261205.0,ns,46
basic_a_or_b,,,,,948872497.0,ns,47
basic_a_or_b,,,,,964059382.0,ns,48
basic_a_or_b,,,,,994021275.0,ns,49
basic_a_or_b,,,,,1019489804.0,ns,50
basic_a_or_b,,,,,1039673855.0,ns,51
basic_a_or_b,,,,,1049512863.0,ns,52
basic_a_or_b,,,,,1099424281.0,ns,53
basic_a_or_b,,,,,1115906638.0,ns,54
basic_a_or_b,,,,,1152491415.0,ns,55
basic_a_or_b,,,,,1212817122.0,ns,56
basic_a_or_b,,,,,1212503733.0,ns,57
basic_a_or_b,,,,,1171997300.0,ns,58
basic_a_or_b,,,,,1151277932.0,ns,59
basic_a_or_b,,,,,1203772632.0,ns,60
basic_a_or_b,,,,,1278380790.0,ns,61
basic_a_or_b,,,,,1286309229.0,ns,62
basic_a_or_b,,,,,1276426833.0,ns,63
basic_a_or_b,,,,,1272290419.0,ns,64
basic_a_or_b,,,,,1272026720.0,ns,65
basic_a_or_b,,,,,1367680381.0,ns,66
basic_a_or_b,,,,,1600149656.0,ns,67
basic_a_or_b,,,,,1596522359.0,ns,68
basic_a_or_b,,,,,1425368748.0,ns,69
basic_a_or_b,,,,,1348761135.0,ns,70
basic_a_or_b,,,,,1415371994.0,ns,71
basic_a_or_b,,,,,1603531711.0,ns,72
basic_a_or_b,,,,,1473221371.0,ns,73
basic_a_or_b,,,,,1492244872.0,ns,74
basic_a_or_b,,,,,1447862332.0,ns,75
basic_a_or_b,,,,,1499745252.0,ns,76
basic_a_or_b,,,,,1534304565.0,ns,77
basic_a_or_b,,,,,1534068215.0,ns,78
basic_a_or_b,,,,,1525151480.0,ns,79
basic_a_or_b,,,,,1606861531.0,ns,80
basic_a_or_b,,,,,1632093576.0,ns,81
basic_a_or_b,,,,,1650778685.0,ns,82
basic_a_or_b,,,,,1666946512.0,ns,83
basic_a_or_b,,,,,1680192230.0,ns,84
basic_a_or_b,,,,,1700998163.0,ns,85
basic_a_or_b,,,,,1727074197.0,ns,86
basic_a_or_b,,,,,1768272694.0,ns,87
basic_a_or_b,,,,,1775245768.0,ns,88
basic_a_or_b,,,,,1786816817.0,ns,89
basic_a_or_b,,,,,1806082622.0,ns,90
basic_a_or_b,,,,,1854994176.0,ns,91
basic_a_or_b,,,,,1899156904.0,ns,92
basic_a_or_b,,,,,1949469791.0,ns,93
basic_a_or_b,,,,,1917334263.0,ns,94
basic_a_or_b,,,,,2013075120.0,ns,95
basic_a_or_b,,,,,2005684207.0,ns,96
basic_a_or_b,,,,,1974069742.0,ns,97
basic_a_or_b,,,,,1971141146.0,ns,98
basic_a_or_b,,,,,1980947679.0,ns,99
basic_a_or_b,,,,,2268217066.0,ns,100
