group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
basic_any,,,,,991378.0,ns,219
basic_any,,,,,1962887.0,ns,438
basic_any,,,,,2945275.0,ns,657
basic_any,,,,,4054382.0,ns,876
basic_any,,,,,4901368.0,ns,1095
basic_any,,,,,5881320.0,ns,1314
basic_any,,,,,6861608.0,ns,1533
basic_any,,,,,7836999.0,ns,1752
basic_any,,,,,8818713.0,ns,1971
basic_any,,,,,9954543.0,ns,2190
basic_any,,,,,10527157.0,ns,2409
basic_any,,,,,11296685.0,ns,2628
basic_any,,,,,12344704.0,ns,2847
basic_any,,,,,12992694.0,ns,3066
basic_any,,,,,15295790.0,ns,3285
basic_any,,,,,16528298.0,ns,3504
basic_any,,,,,16626051.0,ns,3723
basic_any,,,,,16711290.0,ns,3942
basic_any,,,,,18689273.0,ns,4161
basic_any,,,,,20669891.0,ns,4380
basic_any,,,,,20841476.0,ns,4599
basic_any,,,,,21725311.0,ns,4818
basic_any,,,,,22717176.0,ns,5037
basic_any,,,,,23672747.0,ns,5256
basic_any,,,,,24628955.0,ns,5475
basic_any,,,,,26191845.0,ns,5694
basic_any,,,,,26973087.0,ns,5913
basic_any,,,,,27869093.0,ns,6132
basic_any,,,,,28846722.0,ns,6351
basic_any,,,,,29816808.0,ns,6570
basic_any,,,,,30728913.0,ns,6789
basic_any,,,,,31921364.0,ns,7008
basic_any,,,,,32889430.0,ns,7227
basic_any,,,,,34089198.0,ns,7446
basic_any,,,,,35494252.0,ns,7665
basic_any,,,,,36820890.0,ns,7884
basic_any,,,,,36829166.0,ns,8103
basic_any,,,,,37801921.0,ns,8322
basic_any,,,,,38546108.0,ns,8541
basic_any,,,,,39560014.0,ns,8760
basic_any,,,,,40877385.0,ns,8979
basic_any,,,,,41611560.0,ns,9198
basic_any,,,,,42568215.0,ns,9417
basic_any,,,,,44358416.0,ns,9636
basic_any,,,,,44725774.0,ns,9855
basic_any,,,,,45466700.0,ns,10074
basic_any,,,,,47573271.0,ns,10293
basic_any,,,,,47605495.0,ns,10512
basic_any,,,,,48784021.0,ns,10731
basic_any,,,,,49567554.0,ns,10950
basic_any,,,,,50354880.0,ns,11169
basic_any,,,,,51830587.0,ns,11388
basic_any,,,,,51879660.0,ns,11607
basic_any,,,,,52595395.0,ns,11826
basic_any,,,,,53300596.0,ns,12045
basic_any,,,,,55254697.0,ns,12264
basic_any,,,,,57484941.0,ns,12483
basic_any,,,,,57696821.0,ns,12702
basic_any,,,,,58993561.0,ns,12921
basic_any,,,,,60259038.0,ns,13140
basic_any,,,,,60996432.0,ns,13359
basic_any,,,,,61843168.0,ns,13578
basic_any,,,,,71026652.0,ns,13797
basic_any,,,,,69124742.0,ns,14016
basic_any,,,,,66185802.0,ns,14235
basic_any,,,,,67113077.0,ns,14454
basic_any,,,,,67486119.0,ns,14673
basic_any,,,,,67869549.0,ns,14892
basic_any,,,,,72255338.0,ns,15111
basic_any,,,,,80893022.0,ns,15330
basic_any,,,,,77001622.0,ns,15549
basic_any,,,,,74048159.0,ns,15768
basic_any,,,,,73577915.0,ns,15987
basic_any,,,,,76068369.0,ns,16206
basic_any,,,,,77018170.0,ns,16425
basic_any,,,,,77751504.0,ns,16644
basic_any,,,,,78451136.0,ns,16863
basic_any,,,,,79774607.0,ns,17082
basic_any,,,,,80638180.0,ns,17301
basic_any,,,,,81819095.0,ns,17520
basic_any,,,,,83092456.0,ns,17739
basic_any,,,,,83263364.0,ns,17958
basic_any,,,,,82172180.0,ns,18177
basic_any,,,,,81876202.0,ns,18396
basic_any,,,,,79853043.0,ns,18615
basic_any,,,,,85039615.0,ns,18834
basic_any,,,,,90511533.0,ns,19053
basic_any,,,,,90619589.0,ns,19272
basic_any,,,,,90320108.0,ns,19491
basic_any,,,,,92172035.0,ns,19710
basic_any,,,,,92175795.0,ns,19929
basic_any,,,,,92723547.0,ns,20148
basic_any,,,,,93529650.0,ns,20367
basic_any,,,,,94282527.0,ns,20586
basic_any,,,,,95933461.0,ns,20805
basic_any,,,,,96997138.0,ns,21024
basic_any,,,,,96288874.0,ns,21243
basic_any,,,,,113035721.0,ns,21462
basic_any,,,,,122587280.0,ns,21681
basic_any,,,,,105984105.0,ns,21900
