group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
basic_delimited_string,,,,,1378744.0,ns,13
basic_delimited_string,,,,,2027886.0,ns,26
basic_delimited_string,,,,,2951301.0,ns,39
basic_delimited_string,,,,,3970132.0,ns,52
basic_delimited_string,,,,,4917140.0,ns,65
basic_delimited_string,,,,,6036456.0,ns,78
basic_delimited_string,,,,,6924095.0,ns,91
basic_delimited_string,,,,,8326136.0,ns,104
basic_delimited_string,,,,,8967097.0,ns,117
basic_delimited_string,,,,,9874729.0,ns,130
basic_delimited_string,,,,,10917525.0,ns,143
basic_delimited_string,,,,,11844380.0,ns,156
basic_delimited_string,,,,,12967304.0,ns,169
basic_delimited_string,,,,,13909288.0,ns,182
basic_delimited_string,,,,,15035540.0,ns,195
basic_delimited_string,,,,,15971164.0,ns,208
basic_delimited_string,,,,,16797402.0,ns,221
basic_delimited_string,,,,,17361241.0,ns,234
basic_delimited_string,,,,,18494414.0,ns,247
basic_delimited_string,,,,,19592263.0,ns,260
basic_delimited_string,,,,,20542312.0,ns,273
basic_delimited_string,,,,,21241171.0,ns,286
basic_delimited_string,,,,,22810008.0,ns,299
basic_delimited_string,,,,,23814749.0,ns,312
basic_delimited_string,,,,,25026402.0,ns,325
basic_delimited_string,,,,,25941766.0,ns,338
basic_delimited_string,,,,,26870862.0,ns,351
basic_delimited_string,,,,,28127801.0,ns,364
basic_delimited_string,,,,,29170739.0,ns,377
basic_delimited_string,,,,,29815538.0,ns,390
basic_delimited_string,,,,,31259253.0,ns,403
basic_delimited_string,,,,,32321525.0,ns,416
basic_delimited_string,,,,,32801978.0,ns,429
basic_delimited_string,,,,,33745402.0,ns,442
basic_delimited_string,,,,,34889125.0,ns,455
basic_delimited_string,,,,,35810463.0,ns,468
basic_delimited_string,,,,,36678678.0,ns,481
basic_delimited_string,,,,,37835554.0,ns,494
basic_delimited_string,,,,,39537274.0,ns,507
basic_delimited_string,,,,,39876549.0,ns,520
basic_delimited_string,,,,,40774832.0,ns,533
basic_delimited_string,,,,,41631938.0,ns,546
basic_delimited_string,,,,,43244843.0,ns,559
basic_delimited_string,,,,,44066934.0,ns,572
basic_delimited_string,,,,,45309715.0,ns,585
basic_delimited_string,,,,,45869489.0,ns,598
basic_delimited_string,,,,,46692920.0,ns,611
basic_delimited_string,,,,,47694854.0,ns,624
basic_delimited_string,,,,,48566606.0,ns,637
basic_delimited_string,,,,,49885151.0,ns,650
basic_delimited_string,,,,,50847112.0,ns,663
basic_delimited_string,,,,,51897570.0,ns,676
basic_delimited_string,,,,,52884647.0,ns,689
basic_delimited_string,,,,,53475335.0,ns,702
basic_delimited_string,,,,,55414642.0,ns,715
basic_delimited_string,,,,,55843835.0,ns,728
basic_delimited_string,,,,,56411899.0,ns,741
basic_delimited_string,,,,,57854194.0,ns,754
basic_delimited_string,,,,,58994315.0,ns,767
basic_delimited_string,,,,,59667557.0,ns,780
basic_delimited_string,,,,,60710493.0,ns,793
basic_delimited_string,,,,,61570633.0,ns,806
basic_delimited_string,,,,,62876612.0,ns,819
basic_delimited_string,,,,,70162698.0,ns,832
basic_delimited_string,,,,,70557216.0,ns,845
basic_delimited_string,,,,,68601835.0,ns,858
basic_delimited_string,,,,,69351511.0,ns,871
basic_delimited_string,,,,,69315108.0,ns,884
basic_delimited_string,,,,,70144397.0,ns,897
basic_delimited_string,,,,,70546523.0,ns,910
basic_delimited_string,,,,,72058959.0,ns,923
basic_delimited_string,,,,,71743076.0,ns,936
basic_delimited_string,,,,,72466013.0,ns,949
basic_delimited_string,,,,,73289136.0,ns,962
basic_delimited_string,,,,,72165452.0,ns,975
basic_delimited_string,,,,,71319131.0,ns,988
basic_delimited_string,,,,,76139301.0,ns,1001
basic_delimited_string,,,,,78782162.0,ns,1014
basic_delimited_string,,,,,80214670.0,ns,1027
basic_delimited_string,,,,,80944420.0,ns,1040
basic_delimited_string,,,,,81221712.0,ns,1053
basic_delimited_string,,,,,81952887.0,ns,1066
basic_delimited_string,,,,,83156975.0,ns,1079
basic_delimited_string,,,,,84678795.0,ns,1092
basic_delimited_string,,,,,84805457.0,ns,1105
basic_delimited_string,,,,,85667728.0,ns,1118
basic_delimited_string,,,,,86683498.0,ns,1131
basic_delimited_string,,,,,87515665.0,ns,1144
basic_delimited_string,,,,,89405233.0,ns,1157
basic_delimited_string,,,,,89693919.0,ns,1170
basic_delimited_string,,,,,90569535.0,ns,1183
basic_delimited_string,,,,,91482869.0,ns,1196
basic_delimited_string,,,,,92472122.0,ns,1209
basic_delimited_string,,,,,93779636.0,ns,1222
basic_delimited_string,,,,,95033582.0,ns,1235
basic_delimited_string,,,,,94947244.0,ns,1248
basic_delimited_string,,,,,95008824.0,ns,1261
basic_delimited_string,,,,,95427126.0,ns,1274
basic_delimited_string,,,,,96928500.0,ns,1287
basic_delimited_string,,,,,99461347.0,ns,1300
