group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
basic_a_or_b,,,,,5662593.0,ns,1
basic_a_or_b,,,,,10730651.0,ns,2
basic_a_or_b,,,,,18056878.0,ns,3
basic_a_or_b,,,,,22400090.0,ns,4
basic_a_or_b,,,,,27081713.0,ns,5
basic_a_or_b,,,,,32600696.0,ns,6
basic_a_or_b,,,,,37824040.0,ns,7
basic_a_or_b,,,,,42978294.0,ns,8
basic_a_or_b,,,,,48272037.0,ns,9
basic_a_or_b,,,,,53631985.0,ns,10
basic_a_or_b,,,,,59054996.0,ns,11
basic_a_or_b,,,,,65315748.0,ns,12
basic_a_or_b,,,,,70072485.0,ns,13
basic_a_or_b,,,,,76332150.0,ns,14
basic_a_or_b,,,,,80412701.0,ns,15
basic_a_or_b,,,,,86158992.0,ns,16
basic_a_or_b,,,,,90886592.0,ns,17
basic_a_or_b,,,,,96966770.0,ns,18
basic_a_or_b,,,,,101663077.0,ns,19
basic_a_or_b,,,,,108566604.0,ns,20
basic_a_or_b,,,,,113110507.0,ns,21
basic_a_or_b,,,,,118805661.0,ns,22
basic_a_or_b,,,,,124215965.0,ns,23
basic_a_or_b,,,,,131430069.0,ns,24
basic_a_or_b,,,,,134128485.0,ns,25
basic_a_or_b,,,,,140317101.0,ns,26
basic_a_or_b,,,,,145723650.0,ns,27
basic_a_or_b,,,,,153509525.0,ns,28
basic_a_or_b,,,,,156996128.0,ns,29
basic_a_or_b,,,,,160309917.0,ns,30
basic_a_or_b,,,,,169553803.0,ns,31
basic_a_or_b,,,,,172382278.0,ns,32
basic_a_or_b,,,,,177022213.0,ns,33
basic_a_or_b,,,,,184595829.0,ns,34
basic_a_or_b,,,,,187341009.0,ns,35
basic_a_or_b,,,,,198048843.0,ns,36
basic_a_or_b,,,,,200317785.0,ns,37
basic_a_or_b,,,,,206043661.0,ns,38
basic_a_or_b,,,,,211269234.0,ns,39
basic_a_or_b,,,,,216586486.0,ns,40
basic_a_or_b,,,,,224067626.0,ns,41
basic_a_or_b,,,,,229822138.0,ns,42
basic_a_or_b,,,,,232382375.0,ns,43
basic_a_or_b,,,,,238693480.0,ns,44
basic_a_or_b,,,,,241530360.0,ns,45
basic_a_or_b,,,,,249690006.0,ns,46
basic_a_or_b,,,,,253635653.0,ns,47
basic_a_or_b,,,,,260046094.0,ns,48
basic_a_or_b,,,,,263226371.0,ns,49
basic_a_or_b,,,,,270117638.0,ns,50
basic_a_or_b,,,,,274340970.0,ns,51
basic_a_or_b,,,,,279029606.0,ns,52
basic_a_or_b,,,,,286875679.0,ns,53
basic_a_or_b,,,,,289381678.0,ns,54
basic_a_or_b,,,,,297251114.0,ns,55
basic_a_or_b,,,,,300577783.0,ns,56
basic_a_or_b,,,,,307312618.0,ns,57
basic_a_or_b,,,,,310519650.0,ns,58
basic_a_or_b,,,,,319890761.0,ns,59
basic_a_or_b,,,,,323235606.0,ns,60
basic_a_or_b,,,,,329449879.0,ns,61
basic_a_or_b,,,,,333689268.0,ns,62
basic_a_or_b,,,,,338841011.0,ns,63
basic_a_or_b,,,,,348531876.0,ns,64
basic_a_or_b,,,,,350996943.0,ns,65
basic_a_or_b,,,,,356896949.0,ns,66
basic_a_or_b,,,,,359288136.0,ns,67
basic_a_or_b,,,,,369232266.0,ns,68
basic_a_or_b,,,,,373088924.0,ns,69
basic_a_or_b,,,,,378411088.0,ns,70
basic_a_or_b,,,,,387206114.0,ns,71
basic_a_or_b,,,,,390331654.0,ns,72
basic_a_or_b,,,,,395781080.0,ns,73
basic_a_or_b,,,,,402210565.0,ns,74
basic_a_or_b,,,,,406502811.0,ns,75
basic_a_or_b,,,,,411316240.0,ns,76
basic_a_or_b,,,,,417784117.0,ns,77
basic_a_or_b,,,,,420679771.0,ns,78
basic_a_or_b,,,,,425616123.0,ns,79
basic_a_or_b,,,,,431027642.0,ns,80
basic_a_or_b,,,,,468576484.0,ns,81
basic_a_or_b,,,,,440039653.0,ns,82
basic_a_or_b,,,,,449635173.0,ns,83
basic_a_or_b,,,,,452379088.0,ns,84
basic_a_or_b,,,,,458153891.0,ns,85
basic_a_or_b,,,,,462695870.0,ns,86
basic_a_or_b,,,,,476380254.0,ns,87
basic_a_or_b,,,,,474157378.0,ns,88
basic_a_or_b,,,,,483194895.0,ns,89
basic_a_or_b,,,,,485239561.0,ns,90
basic_a_or_b,,,,,488313109.0,ns,91
basic_a_or_b,,,,,496402909.0,ns,92
basic_a_or_b,,,,,504310846.0,ns,93
basic_a_or_b,,,,,507884853.0,ns,94
basic_a_or_b,,,,,514097153.0,ns,95
basic_a_or_b,,,,,519757327.0,ns,96
basic_a_or_b,,,,,524174138.0,ns,97
basic_a_or_b,,,,,529701131.0,ns,98
basic_a_or_b,,,,,533184346.0,ns,99
basic_a_or_b,,,,,538193332.0,ns,100
