group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
basic_any,,,,,1102074.0,ns,476
basic_any,,,,,2131354.0,ns,952
basic_any,,,,,2882010.0,ns,1428
basic_any,,,,,4054355.0,ns,1904
basic_any,,,,,4976830.0,ns,2380
basic_any,,,,,6146151.0,ns,2856
basic_any,,,,,7096132.0,ns,3332
basic_any,,,,,7988313.0,ns,3808
basic_any,,,,,8883272.0,ns,4284
basic_any,,,,,9903572.0,ns,4760
basic_any,,,,,10907844.0,ns,5236
basic_any,,,,,11820079.0,ns,5712
basic_any,,,,,12588740.0,ns,6188
basic_any,,,,,14052852.0,ns,6664
basic_any,,,,,14804164.0,ns,7140
basic_any,,,,,15630188.0,ns,7616
basic_any,,,,,16762965.0,ns,8092
basic_any,,,,,17525528.0,ns,8568
basic_any,,,,,18655232.0,ns,9044
basic_any,,,,,19699767.0,ns,9520
basic_any,,,,,20705669.0,ns,9996
basic_any,,,,,21706739.0,ns,10472
basic_any,,,,,22544282.0,ns,10948
basic_any,,,,,23569383.0,ns,11424
basic_any,,,,,24535554.0,ns,11900
basic_any,,,,,25867768.0,ns,12376
basic_any,,,,,26503612.0,ns,12852
basic_any,,,,,27735575.0,ns,13328
basic_any,,,,,28482734.0,ns,13804
basic_any,,,,,29466089.0,ns,14280
basic_any,,,,,30526092.0,ns,14756
basic_any,,,,,31612295.0,ns,15232
basic_any,,,,,33454557.0,ns,15708
basic_any,,,,,33710521.0,ns,16184
basic_any,,,,,34513771.0,ns,16660
basic_any,,,,,35416213.0,ns,17136
basic_any,,,,,36404867.0,ns,17612
basic_any,,,,,37656647.0,ns,18088
basic_any,,,,,38548967.0,ns,18564
basic_any,,,,,39849091.0,ns,19040
basic_any,,,,,40594922.0,ns,19516
basic_any,,,,,41591364.0,ns,19992
basic_any,,,,,42544507.0,ns,20468
basic_any,,,,,43354253.0,ns,20944
basic_any,,,,,44189172.0,ns,21420
basic_any,,,,,46232889.0,ns,21896
basic_any,,,,,46684250.0,ns,22372
basic_any,,,,,47316072.0,ns,22848
basic_any,,,,,50107488.0,ns,23324
basic_any,,,,,49717705.0,ns,23800
basic_any,,,,,50334129.0,ns,24276
basic_any,,,,,51302153.0,ns,24752
basic_any,,,,,52380968.0,ns,25228
basic_any,,,,,54699481.0,ns,25704
basic_any,,,,,54177086.0,ns,26180
basic_any,,,,,56258686.0,ns,26656
basic_any,,,,,56385015.0,ns,27132
basic_any,,,,,57230931.0,ns,27608
basic_any,,,,,57915369.0,ns,28084
basic_any,,,,,59134899.0,ns,28560
basic_any,,,,,59956296.0,ns,29036
basic_any,,,,,60914490.0,ns,29512
basic_any,,,,,62008405.0,ns,29988
basic_any,,,,,63323157.0,ns,30464
basic_any,,,,,65231148.0,ns,30940
basic_any,,,,,65855238.0,ns,31416
basic_any,,,,,65692681.0,ns,31892
basic_any,,,,,66985465.0,ns,32368
basic_any,,,,,68531871.0,ns,32844
basic_any,,,,,68643132.0,ns,33320
basic_any,,,,,70066624.0,ns,33796
basic_any,,,,,72036345.0,ns,34272
basic_any,,,,,72219203.0,ns,34748
basic_any,,,,,72701756.0,ns,35224
basic_any,,,,,73774375.0,ns,35700
basic_any,,,,,74975828.0,ns,36176
basic_any,,,,,75631793.0,ns,36652
basic_any,,,,,76707506.0,ns,37128
basic_any,,,,,78701407.0,ns,37604
basic_any,,,,,78609631.0,ns,38080
basic_any,,,,,79968932.0,ns,38556
basic_any,,,,,80745862.0,ns,39032
basic_any,,,,,82801063.0,ns,39508
basic_any,,,,,82508077.0,ns,39984
basic_any,,,,,84535981.0,ns,40460
basic_any,,,,,85551543.0,ns,40936
basic_any,,,,,85758543.0,ns,41412
basic_any,,,,,86738717.0,ns,41888
basic_any,,,,,87499355.0,ns,42364
basic_any,,,,,88217355.0,ns,42840
basic_any,,,,,90491192.0,ns,43316
basic_any,,,,,90663850.0,ns,43792
basic_any,,,,,91581062.0,ns,44268
basic_any,,,,,92443998.0,ns,44744
basic_any,,,,,95624893.0,ns,45220
basic_any,,,,,95843298.0,ns,45696
basic_any,,,,,96660287.0,ns,46172
basic_any,,,,,96842284.0,ns,46648
basic_any,,,,,97658260.0,ns,47124
basic_any,,,,,98888121.0,ns,47600
