group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
basic_delimited_string,,,,,1224364.0,ns,18
basic_delimited_string,,,,,1965376.0,ns,36
basic_delimited_string,,,,,2988694.0,ns,54
basic_delimited_string,,,,,4073970.0,ns,72
basic_delimited_string,,,,,5148516.0,ns,90
basic_delimited_string,,,,,6137894.0,ns,108
basic_delimited_string,,,,,7419564.0,ns,126
basic_delimited_string,,,,,8242797.0,ns,144
basic_delimited_string,,,,,9189836.0,ns,162
basic_delimited_string,,,,,10310204.0,ns,180
basic_delimited_string,,,,,11024306.0,ns,198
basic_delimited_string,,,,,11896687.0,ns,216
basic_delimited_string,,,,,12997198.0,ns,234
basic_delimited_string,,,,,14055716.0,ns,252
basic_delimited_string,,,,,15178836.0,ns,270
basic_delimited_string,,,,,16118829.0,ns,288
basic_delimited_string,,,,,17130627.0,ns,306
basic_delimited_string,,,,,17999298.0,ns,324
basic_delimited_string,,,,,19071728.0,ns,342
basic_delimited_string,,,,,19955609.0,ns,360
basic_delimited_string,,,,,21254665.0,ns,378
basic_delimited_string,,,,,21919285.0,ns,396
basic_delimited_string,,,,,23008732.0,ns,414
basic_delimited_string,,,,,24252431.0,ns,432
basic_delimited_string,,,,,25081735.0,ns,450
basic_delimited_string,,,,,26173340.0,ns,468
basic_delimited_string,,,,,27053811.0,ns,486
basic_delimited_string,,,,,28285912.0,ns,504
basic_delimited_string,,,,,29332995.0,ns,522
basic_delimited_string,,,,,31042090.0,ns,540
basic_delimited_string,,,,,31721868.0,ns,558
basic_delimited_string,,,,,33295847.0,ns,576
basic_delimited_string,,,,,33375018.0,ns,594
basic_delimited_string,,,,,34045955.0,ns,612
basic_delimited_string,,,,,35204443.0,ns,630
basic_delimited_string,,,,,36097783.0,ns,648
basic_delimited_string,,,,,37028219.0,ns,666
basic_delimited_string,,,,,38379358.0,ns,684
basic_delimited_string,,,,,39308627.0,ns,702
basic_delimited_string,,,,,41119195.0,ns,720
basic_delimited_string,,,,,41706961.0,ns,738
basic_delimited_string,,,,,42045439.0,ns,756
basic_delimited_string,,,,,44451888.0,ns,774
basic_delimited_string,,,,,44143163.0,ns,792
basic_delimited_string,,,,,46090752.0,ns,810
basic_delimited_string,,,,,46568171.0,ns,828
basic_delimited_string,,,,,47427584.0,ns,846
basic_delimited_string,,,,,48439151.0,ns,864
basic_delimited_string,,,,,49438681.0,ns,882
basic_delimited_string,,,,,50291748.0,ns,900
basic_delimited_string,,,,,51490676.0,ns,918
basic_delimited_string,,,,,52314146.0,ns,936
basic_delimited_string,,,,,53449931.0,ns,954
basic_delimited_string,,,,,55514186.0,ns,972
basic_delimited_string,,,,,56497981.0,ns,990
basic_delimited_string,,,,,56715792.0,ns,1008
basic_delimited_string,,,,,58005965.0,ns,1026
basic_delimited_string,,,,,59385280.0,ns,1044
basic_delimited_string,,,,,61787550.0,ns,1062
basic_delimited_string,,,,,60321492.0,ns,1080
basic_delimited_string,,,,,61033045.0,ns,1098
basic_delimited_string,,,,,63634481.0,ns,1116
basic_delimited_string,,,,,65924954.0,ns,1134
basic_delimited_string,,,,,65691387.0,ns,1152
basic_delimited_string,,,,,65610941.0,ns,1170
basic_delimited_string,,,,,67652763.0,ns,1188
basic_delimited_string,,,,,70994393.0,ns,1206
basic_delimited_string,,,,,69552323.0,ns,1224
basic_delimited_string,,,,,69770548.0,ns,1242
basic_delimited_string,,,,,70543909.0,ns,1260
basic_delimited_string,,,,,72439024.0,ns,1278
basic_delimited_string,,,,,73510526.0,ns,1296
basic_delimited_string,,,,,74232725.0,ns,1314
basic_delimited_string,,,,,74933519.0,ns,1332
basic_delimited_string,,,,,75380767.0,ns,1350
basic_delimited_string,,,,,77226608.0,ns,1368
basic_delimited_string,,,,,78074587.0,ns,1386
basic_delimited_string,,,,,79503726.0,ns,1404
basic_delimited_string,,,,,82171550.0,ns,1422
basic_delimited_string,,,,,80938375.0,ns,1440
basic_delimited_string,,,,,82497235.0,ns,1458
basic_delimited_string,,,,,83007290.0,ns,1476
basic_delimited_string,,,,,83828666.0,ns,1494
basic_delimited_string,,,,,85844006.0,ns,1512
basic_delimited_string,,,,,85952595.0,ns,1530
basic_delimited_string,,,,,87944620.0,ns,1548
basic_delimited_string,,,,,87710626.0,ns,1566
basic_delimited_string,,,,,88729630.0,ns,1584
basic_delimited_string,,,,,89956671.0,ns,1602
basic_delimited_string,,,,,91533087.0,ns,1620
basic_delimited_string,,,,,92408926.0,ns,1638
basic_delimited_string,,,,,93616530.0,ns,1656
basic_delimited_string,,,,,93927569.0,ns,1674
basic_delimited_string,,,,,95248193.0,ns,1692
basic_delimited_string,,,,,96073650.0,ns,1710
basic_delimited_string,,,,,97774243.0,ns,1728
basic_delimited_string,,,,,99093607.0,ns,1746
basic_delimited_string,,,,,98964511.0,ns,1764
basic_delimited_string,,,,,100624600.0,ns,1782
basic_delimited_string,,,,,100940911.0,ns,1800
