group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
json_apache,,,,,20332415.0,ns,1
json_apache,,,,,38872956.0,ns,2
json_apache,,,,,57710570.0,ns,3
json_apache,,,,,76703477.0,ns,4
json_apache,,,,,95492247.0,ns,5
json_apache,,,,,117525351.0,ns,6
json_apache,,,,,133988569.0,ns,7
json_apache,,,,,159762335.0,ns,8
json_apache,,,,,175566784.0,ns,9
json_apache,,,,,194017445.0,ns,10
json_apache,,,,,209280521.0,ns,11
json_apache,,,,,217366798.0,ns,12
json_apache,,,,,231606924.0,ns,13
json_apache,,,,,254871898.0,ns,14
json_apache,,,,,271611289.0,ns,15
json_apache,,,,,285915033.0,ns,16
json_apache,,,,,315546312.0,ns,17
json_apache,,,,,313048745.0,ns,18
json_apache,,,,,337640699.0,ns,19
json_apache,,,,,363553267.0,ns,20
json_apache,,,,,376889063.0,ns,21
json_apache,,,,,396968104.0,ns,22
json_apache,,,,,421707041.0,ns,23
json_apache,,,,,436190391.0,ns,24
json_apache,,,,,451084427.0,ns,25
json_apache,,,,,457270695.0,ns,26
json_apache,,,,,477047849.0,ns,27
json_apache,,,,,497819749.0,ns,28
json_apache,,,,,524343692.0,ns,29
json_apache,,,,,536563619.0,ns,30
json_apache,,,,,2431441457.0,ns,31
json_apache,,,,,2436934689.0,ns,32
json_apache,,,,,2508077971.0,ns,33
json_apache,,,,,2224782383.0,ns,34
json_apache,,,,,663163160.0,ns,35
json_apache,,,,,653565867.0,ns,36
json_apache,,,,,671426958.0,ns,37
json_apache,,,,,690068569.0,ns,38
json_apache,,,,,717295700.0,ns,39
json_apache,,,,,737926669.0,ns,40
json_apache,,,,,757493563.0,ns,41
json_apache,,,,,784995815.0,ns,42
json_apache,,,,,815307919.0,ns,43
json_apache,,,,,836255837.0,ns,44
json_apache,,,,,853957184.0,ns,45
json_apache,,,,,888651277.0,ns,46
json_apache,,,,,917545337.0,ns,47
json_apache,,,,,935604316.0,ns,48
json_apache,,,,,958131415.0,ns,49
json_apache,,,,,976057836.0,ns,50
json_apache,,,,,996087095.0,ns,51
json_apache,,,,,1033967021.0,ns,52
json_apache,,,,,1068878358.0,ns,53
json_apache,,,,,1092104395.0,ns,54
json_apache,,,,,1109050612.0,ns,55
json_apache,,,,,1132228372.0,ns,56
json_apache,,,,,1148115243.0,ns,57
json_apache,,,,,1169361949.0,ns,58
json_apache,,,,,1191601134.0,ns,59
json_apache,,,,,1213555107.0,ns,60
json_apache,,,,,1235452211.0,ns,61
json_apache,,,,,1257883261.0,ns,62
json_apache,,,,,1276767731.0,ns,63
json_apache,,,,,1291008692.0,ns,64
json_apache,,,,,1311974783.0,ns,65
json_apache,,,,,1332287970.0,ns,66
json_apache,,,,,2081233307.0,ns,67
json_apache,,,,,1336774120.0,ns,68
json_apache,,,,,1296115502.0,ns,69
json_apache,,,,,1287321128.0,ns,70
json_apache,,,,,1269370181.0,ns,71
json_apache,,,,,1291353470.0,ns,72
json_apache,,,,,1297432204.0,ns,73
json_apache,,,,,1333541224.0,ns,74
json_apache,,,,,4021452321.0,ns,75
json_apache,,,,,5789971777.0,ns,76
json_apache,,,,,1616607058.0,ns,77
json_apache,,,,,1411827659.0,ns,78
json_apache,,,,,1475710189.0,ns,79
json_apache,,,,,1485368203.0,ns,80
json_apache,,,,,1533984733.0,ns,81
json_apache,,,,,1561473221.0,ns,82
json_apache,,,,,1620195872.0,ns,83
json_apache,,,,,1641661698.0,ns,84
json_apache,,,,,1661968955.0,ns,85
json_apache,,,,,1715261611.0,ns,86
json_apache,,,,,1761520456.0,ns,87
json_apache,,,,,1781712814.0,ns,88
json_apache,,,,,1796927497.0,ns,89
json_apache,,,,,1818787909.0,ns,90
json_apache,,,,,1835477017.0,ns,91
json_apache,,,,,1856475994.0,ns,92
json_apache,,,,,1882617166.0,ns,93
json_apache,,,,,1896114937.0,ns,94
json_apache,,,,,1922600744.0,ns,95
json_apache,,,,,1996309009.0,ns,96
json_apache,,,,,2023211875.0,ns,97
json_apache,,,,,2047452505.0,ns,98
json_apache,,,,,2070025698.0,ns,99
json_apache,,,,,2106254100.0,ns,100
