group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
json_canada_nom,,,,,1668897.0,ns,1
json_canada_nom,,,,,3322858.0,ns,2
json_canada_nom,,,,,4982279.0,ns,3
json_canada_nom,,,,,6643165.0,ns,4
json_canada_nom,,,,,8300835.0,ns,5
json_canada_nom,,,,,9975752.0,ns,6
json_canada_nom,,,,,11620151.0,ns,7
json_canada_nom,,,,,13283475.0,ns,8
json_canada_nom,,,,,14950145.0,ns,9
json_canada_nom,,,,,16602309.0,ns,10
json_canada_nom,,,,,18261366.0,ns,11
json_canada_nom,,,,,19943174.0,ns,12
json_canada_nom,,,,,21590518.0,ns,13
json_canada_nom,,,,,23242647.0,ns,14
json_canada_nom,,,,,24941215.0,ns,15
json_canada_nom,,,,,26578076.0,ns,16
json_canada_nom,,,,,28454255.0,ns,17
json_canada_nom,,,,,30062547.0,ns,18
json_canada_nom,,,,,31504912.0,ns,19
json_canada_nom,,,,,33156472.0,ns,20
json_canada_nom,,,,,34825925.0,ns,21
json_canada_nom,,,,,36744444.0,ns,22
json_canada_nom,,,,,38190139.0,ns,23
json_canada_nom,,,,,39841951.0,ns,24
json_canada_nom,,,,,41615647.0,ns,25
json_canada_nom,,,,,43163292.0,ns,26
json_canada_nom,,,,,44817461.0,ns,27
json_canada_nom,,,,,46444010.0,ns,28
json_canada_nom,,,,,48092928.0,ns,29
json_canada_nom,,,,,49794576.0,ns,30
json_canada_nom,,,,,51472537.0,ns,31
json_canada_nom,,,,,53057545.0,ns,32
json_canada_nom,,,,,55401873.0,ns,33
json_canada_nom,,,,,56625488.0,ns,34
json_canada_nom,,,,,58069491.0,ns,35
json_canada_nom,,,,,60999994.0,ns,36
json_canada_nom,,,,,62554948.0,ns,37
json_canada_nom,,,,,64241708.0,ns,38
json_canada_nom,,,,,65791435.0,ns,39
json_canada_nom,,,,,67522318.0,ns,40
json_canada_nom,,,,,68304092.0,ns,41
json_canada_nom,,,,,69701082.0,ns,42
json_canada_nom,,,,,71342368.0,ns,43
json_canada_nom,,,,,73166230.0,ns,44
json_canada_nom,,,,,74783224.0,ns,45
json_canada_nom,,,,,76400530.0,ns,46
json_canada_nom,,,,,78015129.0,ns,47
json_canada_nom,,,,,79783690.0,ns,48
json_canada_nom,,,,,81304303.0,ns,49
json_canada_nom,,,,,83197305.0,ns,50
json_canada_nom,,,,,84939687.0,ns,51
json_canada_nom,,,,,86323268.0,ns,52
json_canada_nom,,,,,87976644.0,ns,53
json_canada_nom,,,,,89859514.0,ns,54
json_canada_nom,,,,,91353574.0,ns,55
json_canada_nom,,,,,92863923.0,ns,56
json_canada_nom,,,,,94519571.0,ns,57
json_canada_nom,,,,,96158773.0,ns,58
json_canada_nom,,,,,98407652.0,ns,59
json_canada_nom,,,,,99871942.0,ns,60
json_canada_nom,,,,,101481537.0,ns,61
json_canada_nom,,,,,103165717.0,ns,62
json_canada_nom,,,,,104847635.0,ns,63
json_canada_nom,,,,,106682366.0,ns,64
json_canada_nom,,,,,107942927.0,ns,65
json_canada_nom,,,,,109516778.0,ns,66
json_canada_nom,,,,,112215620.0,ns,67
json_canada_nom,,,,,114649219.0,ns,68
json_canada_nom,,,,,114535165.0,ns,69
json_canada_nom,,,,,116153735.0,ns,70
json_canada_nom,,,,,118293335.0,ns,71
json_canada_nom,,,,,122624992.0,ns,72
json_canada_nom,,,,,122710556.0,ns,73
json_canada_nom,,,,,124995569.0,ns,74
json_canada_nom,,,,,126171606.0,ns,75
json_canada_nom,,,,,126273927.0,ns,76
json_canada_nom,,,,,129953923.0,ns,77
json_canada_nom,,,,,129180980.0,ns,78
json_canada_nom,,,,,126879884.0,ns,79
json_canada_nom,,,,,128528109.0,ns,80
json_canada_nom,,,,,131806821.0,ns,81
json_canada_nom,,,,,132610042.0,ns,82
json_canada_nom,,,,,133393648.0,ns,83
json_canada_nom,,,,,135488807.0,ns,84
json_canada_nom,,,,,136252903.0,ns,85
json_canada_nom,,,,,137765299.0,ns,86
json_canada_nom,,,,,139348241.0,ns,87
json_canada_nom,,,,,141116961.0,ns,88
json_canada_nom,,,,,143892571.0,ns,89
json_canada_nom,,,,,146775737.0,ns,90
json_canada_nom,,,,,148245214.0,ns,91
json_canada_nom,,,,,148940649.0,ns,92
json_canada_nom,,,,,151787702.0,ns,93
json_canada_nom,,,,,153210788.0,ns,94
json_canada_nom,,,,,152822064.0,ns,95
json_canada_nom,,,,,153904154.0,ns,96
json_canada_nom,,,,,155467377.0,ns,97
json_canada_nom,,,,,157587908.0,ns,98
json_canada_nom,,,,,159100186.0,ns,99
json_canada_nom,,,,,160691963.0,ns,100
