group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
json_canada_pest,,,,,500110770.0,ns,1
json_canada_pest,,,,,1020070727.0,ns,2
json_canada_pest,,,,,1513752118.0,ns,3
json_canada_pest,,,,,2001115920.0,ns,4
json_canada_pest,,,,,2513555574.0,ns,5
json_canada_pest,,,,,3081060464.0,ns,6
json_canada_pest,,,,,3494015740.0,ns,7
json_canada_pest,,,,,4021170416.0,ns,8
json_canada_pest,,,,,4443844224.0,ns,9
json_canada_pest,,,,,5050895426.0,ns,10
json_canada_pest,,,,,5910297528.0,ns,11
json_canada_pest,,,,,6113195280.0,ns,12
json_canada_pest,,,,,9029808684.0,ns,13
json_canada_pest,,,,,8311375307.0,ns,14
json_canada_pest,,,,,7862211445.0,ns,15
json_canada_pest,,,,,8373893093.0,ns,16
json_canada_pest,,,,,8859964193.0,ns,17
json_canada_pest,,,,,9354246624.0,ns,18
json_canada_pest,,,,,10030615236.0,ns,19
json_canada_pest,,,,,10732528385.0,ns,20
json_canada_pest,,,,,11038377816.0,ns,21
json_canada_pest,,,,,11347809344.0,ns,22
json_canada_pest,,,,,12073571884.0,ns,23
json_canada_pest,,,,,12468151430.0,ns,24
json_canada_pest,,,,,12016743409.0,ns,25
json_canada_pest,,,,,12894933665.0,ns,26
json_canada_pest,,,,,13354451321.0,ns,27
json_canada_pest,,,,,13561216667.0,ns,28
json_canada_pest,,,,,14089274124.0,ns,29
json_canada_pest,,,,,17758620451.0,ns,30
json_canada_pest,,,,,15729436034.0,ns,31
json_canada_pest,,,,,17743294926.0,ns,32
json_canada_pest,,,,,18349423041.0,ns,33
json_canada_pest,,,,,18804653296.0,ns,34
json_canada_pest,,,,,18218103563.0,ns,35
json_canada_pest,,,,,18752404094.0,ns,36
json_canada_pest,,,,,19247928953.0,ns,37
json_canada_pest,,,,,19777997210.0,ns,38
json_canada_pest,,,,,20303386212.0,ns,39
json_canada_pest,,,,,20744950617.0,ns,40
json_canada_pest,,,,,21188410047.0,ns,41
json_canada_pest,,,,,21727342723.0,ns,42
json_canada_pest,,,,,22247462553.0,ns,43
json_canada_pest,,,,,22794221037.0,ns,44
json_canada_pest,,,,,23233584385.0,ns,45
json_canada_pest,,,,,23782692157.0,ns,46
json_canada_pest,,,,,24308215289.0,ns,47
json_canada_pest,,,,,24828551884.0,ns,48
json_canada_pest,,,,,25343364558.0,ns,49
json_canada_pest,,,,,25854330253.0,ns,50
json_canada_pest,,,,,26326103534.0,ns,51
json_canada_pest,,,,,26854504970.0,ns,52
json_canada_pest,,,,,27379313401.0,ns,53
json_canada_pest,,,,,27911043982.0,ns,54
json_canada_pest,,,,,28442297124.0,ns,55
json_canada_pest,,,,,28927965382.0,ns,56
json_canada_pest,,,,,29466944666.0,ns,57
json_canada_pest,,,,,29999057960.0,ns,58
json_canada_pest,,,,,30716469799.0,ns,59
json_canada_pest,,,,,31214157322.0,ns,60
json_canada_pest,,,,,31698813799.0,ns,61
json_canada_pest,,,,,32062060762.0,ns,62
json_canada_pest,,,,,32577872467.0,ns,63
json_canada_pest,,,,,33055537090.0,ns,64
json_canada_pest,,,,,33658614508.0,ns,65
json_canada_pest,,,,,34142902588.0,ns,66
json_canada_pest,,,,,34711297917.0,ns,67
json_canada_pest,,,,,35173060764.0,ns,68
json_canada_pest,,,,,35683405026.0,ns,69
json_canada_pest,,,,,36166174942.0,ns,70
json_canada_pest,,,,,36731986236.0,ns,71
json_canada_pest,,,,,37188630232.0,ns,72
json_canada_pest,,,,,37753057414.0,ns,73
json_canada_pest,,,,,38245891404.0,ns,74
json_canada_pest,,,,,38803587699.0,ns,75
json_canada_pest,,,,,39310584450.0,ns,76
json_canada_pest,,,,,39796325416.0,ns,77
json_canada_pest,,,,,40300118288.0,ns,78
json_canada_pest,,,,,40829236301.0,ns,79
json_canada_pest,,,,,41356215762.0,ns,80
json_canada_pest,,,,,42046305371.0,ns,81
json_canada_pest,,,,,42431327868.0,ns,82
json_canada_pest,,,,,42985819308.0,ns,83
json_canada_pest,,,,,43421741514.0,ns,84
json_canada_pest,,,,,44023629729.0,ns,85
json_canada_pest,,,,,44418368275.0,ns,86
json_canada_pest,,,,,44949572894.0,ns,87
json_canada_pest,,,,,45517902875.0,ns,88
json_canada_pest,,,,,46076442187.0,ns,89
json_canada_pest,,,,,46540958193.0,ns,90
json_canada_pest,,,,,47071015885.0,ns,91
json_canada_pest,,,,,47547851213.0,ns,92
json_canada_pest,,,,,48105080995.0,ns,93
json_canada_pest,,,,,48563002996.0,ns,94
json_canada_pest,,,,,49100606019.0,ns,95
json_canada_pest,,,,,49605320101.0,ns,96
json_canada_pest,,,,,50717403867.0,ns,97
json_canada_pest,,,,,56932546357.0,ns,98
json_canada_pest,,,,,61412477043.0,ns,99
json_canada_pest,,,,,60237652526.0,ns,100
