group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
json_data,,,,,1099516.0,ns,1
json_data,,,,,2193106.0,ns,2
json_data,,,,,3396211.0,ns,3
json_data,,,,,4657757.0,ns,4
json_data,,,,,5802719.0,ns,5
json_data,,,,,6686380.0,ns,6
json_data,,,,,7790095.0,ns,7
json_data,,,,,8925729.0,ns,8
json_data,,,,,10012056.0,ns,9
json_data,,,,,11023610.0,ns,10
json_data,,,,,12099813.0,ns,11
json_data,,,,,13385144.0,ns,12
json_data,,,,,14405910.0,ns,13
json_data,,,,,15524111.0,ns,14
json_data,,,,,16665029.0,ns,15
json_data,,,,,17698943.0,ns,16
json_data,,,,,18779595.0,ns,17
json_data,,,,,20009649.0,ns,18
json_data,,,,,21226852.0,ns,19
json_data,,,,,22187860.0,ns,20
json_data,,,,,23217232.0,ns,21
json_data,,,,,24625164.0,ns,22
json_data,,,,,25237111.0,ns,23
json_data,,,,,26615829.0,ns,24
json_data,,,,,27628095.0,ns,25
json_data,,,,,28609317.0,ns,26
json_data,,,,,29730730.0,ns,27
json_data,,,,,30846145.0,ns,28
json_data,,,,,31952517.0,ns,29
json_data,,,,,33101636.0,ns,30
json_data,,,,,34693750.0,ns,31
json_data,,,,,35301310.0,ns,32
json_data,,,,,36687302.0,ns,33
json_data,,,,,37599071.0,ns,34
json_data,,,,,39371717.0,ns,35
json_data,,,,,44134112.0,ns,36
json_data,,,,,41253125.0,ns,37
json_data,,,,,41907379.0,ns,38
json_data,,,,,42969706.0,ns,39
json_data,,,,,44080336.0,ns,40
json_data,,,,,45179122.0,ns,41
json_data,,,,,46234756.0,ns,42
json_data,,,,,47909213.0,ns,43
json_data,,,,,48344312.0,ns,44
json_data,,,,,49648060.0,ns,45
json_data,,,,,50817318.0,ns,46
json_data,,,,,52299390.0,ns,47
json_data,,,,,52851119.0,ns,48
json_data,,,,,55142679.0,ns,49
json_data,,,,,55179906.0,ns,50
json_data,,,,,56214642.0,ns,51
json_data,,,,,57292659.0,ns,52
json_data,,,,,58942379.0,ns,53
json_data,,,,,59623696.0,ns,54
json_data,,,,,60676569.0,ns,55
json_data,,,,,61717054.0,ns,56
json_data,,,,,62801082.0,ns,57
json_data,,,,,64196599.0,ns,58
json_data,,,,,65062875.0,ns,59
json_data,,,,,67038141.0,ns,60
json_data,,,,,67925872.0,ns,61
json_data,,,,,69950616.0,ns,62
json_data,,,,,69551110.0,ns,63
json_data,,,,,70629236.0,ns,64
json_data,,,,,71747900.0,ns,65
json_data,,,,,72886229.0,ns,66
json_data,,,,,73980516.0,ns,67
json_data,,,,,75455550.0,ns,68
json_data,,,,,76147908.0,ns,69
json_data,,,,,77170722.0,ns,70
json_data,,,,,78085640.0,ns,71
json_data,,,,,79478372.0,ns,72
json_data,,,,,80520244.0,ns,73
json_data,,,,,81548874.0,ns,74
json_data,,,,,83145606.0,ns,75
json_data,,,,,84141658.0,ns,76
json_data,,,,,85033589.0,ns,77
json_data,,,,,86369424.0,ns,78
json_data,,,,,87335487.0,ns,79
json_data,,,,,88607168.0,ns,80
json_data,,,,,89719977.0,ns,81
json_data,,,,,90602028.0,ns,82
json_data,,,,,91657936.0,ns,83
json_data,,,,,92816183.0,ns,84
json_data,,,,,94272648.0,ns,85
json_data,,,,,95319822.0,ns,86
json_data,,,,,96067008.0,ns,87
json_data,,,,,97230237.0,ns,88
json_data,,,,,98408924.0,ns,89
json_data,,,,,99253890.0,ns,90
json_data,,,,,100547977.0,ns,91
json_data,,,,,101482782.0,ns,92
json_data,,,,,102843125.0,ns,93
json_data,,,,,103677405.0,ns,94
json_data,,,,,104710048.0,ns,95
json_data,,,,,106452199.0,ns,96
json_data,,,,,107336606.0,ns,97
json_data,,,,,108219091.0,ns,98
json_data,,,,,109412334.0,ns,99
json_data,,,,,110502714.0,ns,100
