group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
json_data,,,,,1458439.0,ns,1
json_data,,,,,2909100.0,ns,2
json_data,,,,,4364390.0,ns,3
json_data,,,,,5884697.0,ns,4
json_data,,,,,7281130.0,ns,5
json_data,,,,,9049072.0,ns,6
json_data,,,,,10259730.0,ns,7
json_data,,,,,12273975.0,ns,8
json_data,,,,,12762874.0,ns,9
json_data,,,,,14161635.0,ns,10
json_data,,,,,16782916.0,ns,11
json_data,,,,,18058007.0,ns,12
json_data,,,,,18859629.0,ns,13
json_data,,,,,21147412.0,ns,14
json_data,,,,,23104569.0,ns,15
json_data,,,,,23835002.0,ns,16
json_data,,,,,24892468.0,ns,17
json_data,,,,,26279393.0,ns,18
json_data,,,,,27678859.0,ns,19
json_data,,,,,30231620.0,ns,20
json_data,,,,,39360075.0,ns,21
json_data,,,,,39059946.0,ns,22
json_data,,,,,34400523.0,ns,23
json_data,,,,,35622238.0,ns,24
json_data,,,,,43605053.0,ns,25
json_data,,,,,47847716.0,ns,26
json_data,,,,,46094877.0,ns,27
json_data,,,,,41139722.0,ns,28
json_data,,,,,42330377.0,ns,29
json_data,,,,,45554495.0,ns,30
json_data,,,,,46681620.0,ns,31
json_data,,,,,47537656.0,ns,32
json_data,,,,,49520762.0,ns,33
json_data,,,,,49706282.0,ns,34
json_data,,,,,51894752.0,ns,35
json_data,,,,,60146073.0,ns,36
json_data,,,,,61854306.0,ns,37
json_data,,,,,63335484.0,ns,38
json_data,,,,,59893387.0,ns,39
json_data,,,,,61230518.0,ns,40
json_data,,,,,62394379.0,ns,41
json_data,,,,,63400003.0,ns,42
json_data,,,,,64627008.0,ns,43
json_data,,,,,70769761.0,ns,44
json_data,,,,,70523226.0,ns,45
json_data,,,,,67926746.0,ns,46
json_data,,,,,70650559.0,ns,47
json_data,,,,,71310517.0,ns,48
json_data,,,,,73440513.0,ns,49
json_data,,,,,74312728.0,ns,50
json_data,,,,,76462837.0,ns,51
json_data,,,,,82000014.0,ns,52
json_data,,,,,82255543.0,ns,53
json_data,,,,,80635149.0,ns,54
json_data,,,,,82582809.0,ns,55
json_data,,,,,83293880.0,ns,56
json_data,,,,,85203633.0,ns,57
json_data,,,,,86278726.0,ns,58
json_data,,,,,101470061.0,ns,59
json_data,,,,,90877211.0,ns,60
json_data,,,,,99840122.0,ns,61
json_data,,,,,93528432.0,ns,62
json_data,,,,,94289952.0,ns,63
json_data,,,,,94594354.0,ns,64
json_data,,,,,92972749.0,ns,65
json_data,,,,,95223125.0,ns,66
json_data,,,,,96533446.0,ns,67
json_data,,,,,97093996.0,ns,68
json_data,,,,,99155321.0,ns,69
json_data,,,,,99986263.0,ns,70
json_data,,,,,97747812.0,ns,71
json_data,,,,,98288390.0,ns,72
json_data,,,,,114031572.0,ns,73
json_data,,,,,123398918.0,ns,74
json_data,,,,,124171686.0,ns,75
json_data,,,,,111469087.0,ns,76
json_data,,,,,110616962.0,ns,77
json_data,,,,,111387972.0,ns,78
json_data,,,,,110940518.0,ns,79
json_data,,,,,108917099.0,ns,80
json_data,,,,,117897015.0,ns,81
json_data,,,,,118654549.0,ns,82
json_data,,,,,119370272.0,ns,83
json_data,,,,,120621271.0,ns,84
json_data,,,,,121839100.0,ns,85
json_data,,,,,123147355.0,ns,86
json_data,,,,,130514224.0,ns,87
json_data,,,,,123089987.0,ns,88
json_data,,,,,117245199.0,ns,89
json_data,,,,,120354006.0,ns,90
json_data,,,,,129564679.0,ns,91
json_data,,,,,141904148.0,ns,92
json_data,,,,,143191588.0,ns,93
json_data,,,,,136984278.0,ns,94
json_data,,,,,133086701.0,ns,95
json_data,,,,,135912490.0,ns,96
json_data,,,,,134249425.0,ns,97
json_data,,,,,142012620.0,ns,98
json_data,,,,,141183678.0,ns,99
json_data,,,,,142700828.0,ns,100
